1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.668959	0.000000	11.493294	0.023206	121.3
1	-0.667394	0.000000	11.493294	0.020853	3.2
2	-0.691899	1.000000	10.970872	0.015029	3.3
3	-0.702246	2.000000	10.493878	0.008947	3.3
4	-0.697951	1.228651	10.858022	0.017674	3.3
5	-0.705877	2.224387	10.392489	0.017705	3.3
6	-0.686038	3.224386	9.963480	0.020336	3.3
7	-0.685398	4.224386	9.568486	0.009668	3.3
8	-0.706140	3.449828	9.871611	0.012932	3.3
9	-0.687566	4.446258	9.485056	0.014516	3.3
10	-0.702956	3.796560	9.733575	0.011599	3.3
11	-0.706779	4.796559	9.356255	0.021740	3.3
12	-0.674288	5.542153	9.093429	0.020921	3.2
13	-0.705885	4.767595	9.366772	0.019029	3.3
14	-0.665827	5.767595	9.016842	0.016748	3.2
15	-0.680716	6.767591	8.692118	0.022436	3.3
16	-0.693790	7.753338	8.394128	0.022362	3.3
17	-0.699298	6.985945	8.624300	0.023917	3.2
18	-0.703944	6.211384	8.869787	0.027106	3.3
19	-0.687231	5.436824	9.129659	0.018308	3.3
20	-0.712714	6.436824	8.796907	0.018474	3.2
21	-0.700742	5.662263	9.052464	0.022862	3.2
22	-0.709045	4.887704	9.323314	0.019909	3.3
23	-0.662861	5.722304	9.032125	0.017467	3.2
24	-0.706978	6.722304	8.706318	0.022605	3.3
25	-0.710436	7.722304	8.403197	0.019021	3.3
26	-0.726567	8.722304	8.120474	0.014029	3.3
27	-0.676180	9.714281	7.858207	0.018642	3.3
28	-0.696952	8.971442	8.052972	0.014241	3.4
29	-0.711173	8.196882	8.266608	0.009745	3.3
30	-0.714438	7.449460	8.483788	0.015010	3.3
31	-0.705732	6.674912	8.721227	0.023127	3.2
32	-0.692443	5.900358	8.972341	0.016497	3.3
33	-0.693059	5.125798	9.238347	0.020733	3.3
34	-0.706128	6.125798	8.897773	0.023200	3.3
35	-0.690103	7.125798	8.581416	0.022876	3.3
36	-0.709409	8.076392	8.300864	0.016439	3.3
37	-0.690588	9.076392	8.024871	0.023582	3.5
38	-0.661726	10.076392	7.766641	0.010712	3.3
39	-0.694745	9.301831	7.965168	0.013623	3.3
40	-0.701443	10.300848	7.710947	0.015427	3.3
41	-0.702289	11.300824	7.472230	0.022638	3.3
42	-0.688693	10.526264	7.655813	0.019695	3.4
43	-0.717705	9.751720	7.848640	0.012806	3.2
44	-0.682875	10.745738	7.602885	0.018242	3.3
45	-0.695495	11.728522	7.374582	0.014557	3.2
46	-0.710738	10.953961	7.553342	0.014230	3.3
47	-0.676191	11.953329	7.324273	0.016600	3.2
48	-0.696988	12.953304	7.108563	0.015605	3.3
49	-0.706345	13.953304	6.905189	0.013235	3.3
50	-0.697952	14.953304	6.713129	0.012512	3.3
51	-0.707613	14.206728	6.855485	0.020278	3.5
52	-0.692322	13.432167	7.009701	0.020111	3.3
53	-0.691378	14.430691	6.812150	0.014348	3.3
54	-0.690864	15.430673	6.625164	0.010304	3.3
55	-0.659372	16.425361	6.449081	0.011540	3.3
56	-0.682630	15.688838	6.578545	0.022475	3.7
57	-0.687823	16.687830	6.404168	0.017181	3.4
58	-0.666191	17.687031	6.238762	0.017719	3.3
59	-0.678057	18.641171	6.088599	0.016638	3.3
60	-0.686867	19.627447	5.940791	0.019932	3.3
61	-0.677019	18.852886	6.056254	0.016663	3.3
62	-0.681644	18.217915	6.154309	0.017952	3.2
63	-0.689242	19.217891	6.001289	0.017950	3.3
64	-0.688863	20.216861	5.855836	0.015675	3.5
65	-0.685166	21.216861	5.717128	0.016674	3.7
66	-0.682411	20.442300	5.823981	0.012647	3.4
67	-0.674138	21.442300	5.686760	0.012336	3.6
68	-0.705759	21.183352	5.721669	0.015031	3.5
69	-0.675105	22.183334	5.589174	0.016238	3.5
70	-0.699686	21.408797	5.691253	0.017453	3.4
71	-0.700622	22.408797	5.560145	0.018892	3.4
72	-0.677013	23.399203	5.436115	0.020472	3.4
73	-0.703008	22.631373	5.531781	0.026191	3.4
74	-0.676865	23.631373	5.407837	0.022532	3.4
75	-0.708699	24.631373	5.289326	0.020478	3.4
76	-0.686718	25.627486	5.176328	0.013260	3.4
77	-0.663799	26.614140	5.069065	0.018928	3.3
78	-0.676713	27.614140	4.964794	0.023214	3.5
79	-0.704196	26.839584	5.045177	0.017089	4.1
80	-0.687375	27.839017	4.941934	0.009069	4.8
81	-0.675907	27.064740	5.021544	0.021351	4.0
82	-0.688846	28.064550	4.919217	0.019896	4.0
83	-0.697098	29.064480	4.820967	0.024338	4.3
84	-0.677325	28.289920	4.896725	0.024565	5.2
85	-0.684655	29.289920	4.799355	0.014925	3.6
86	-0.687660	28.515373	4.874429	0.015030	3.5
87	-0.699900	27.872975	4.938500	0.009140	3.4
88	-0.694515	28.282164	4.897496	0.021002	3.7
89	-0.716859	27.555931	4.970746	0.017944	3.5
90	-0.698647	28.555929	4.870440	0.031498	3.4
91	-0.694441	27.781368	4.947774	0.013388	3.4
92	-0.674427	28.781368	4.848384	0.010536	3.4
93	-0.691475	28.124569	4.913207	0.014487	3.3
94	-0.729483	27.452691	4.981337	0.024229	3.5
95	-0.678759	26.682276	5.061822	0.018440	3.5
96	-0.696426	27.682276	4.957845	0.023503	3.4
97	-0.728392	27.123565	5.015405	0.021941	3.4
98	-0.694937	28.123565	4.913308	0.017883	3.4
99	-0.703640	29.123565	4.815284	0.010562	3.2
100	-0.677873	28.465699	4.879324	0.016816	3.7
101	-0.718880	29.323034	4.796197	0.012029	3.4
102	-0.691314	28.548601	4.871160	0.016776	3.4
103	-0.718138	29.548598	4.774795	0.016510	3.4
104	-0.708326	28.774676	4.849036	0.014126	3.4
105	-0.707298	29.654617	4.764801	0.022935	3.4
106	-0.699347	28.880056	4.838791	0.017770	3.4
107	-0.682596	29.880056	4.743689	0.025712	3.3
108	-0.681091	30.880056	4.652254	0.024052	3.4
109	-0.696613	31.880056	4.564276	0.017032	3.5
110	-0.693522	32.880056	4.479564	0.014043	3.4
111	-0.677751	33.879926	4.397950	0.015999	3.5
112	-0.717866	34.210385	4.371627	0.018102	3.4
113	-0.709714	33.435982	4.433817	0.011544	3.6
114	-0.653561	33.537215	4.425587	0.018151	3.3
115	-0.684782	32.982551	4.471059	0.021136	3.3
116	-0.700223	33.982551	4.389741	0.017541	3.4
117	-0.699562	34.979041	4.311599	0.016517	3.4
118	-0.673406	35.525760	4.269897	0.015614	3.5
119	-0.697911	35.961902	4.237204	0.013182	3.4
120	-0.690923	36.961902	4.164100	0.022036	3.4
121	-0.693967	36.188084	4.220445	0.016572	3.4
122	-0.677156	37.188082	4.147914	0.013243	3.4
123	-0.681507	38.188081	4.077834	0.015236	3.5
124	-0.700355	37.413523	4.131906	0.016152	3.5
125	-0.673609	38.413522	4.062361	0.016762	3.4
126	-0.676718	39.396606	3.996238	0.015259	3.4
127	-0.662401	40.396190	3.931175	0.007942	3.5
128	-0.692790	39.631068	3.980784	0.015903	3.4
129	-0.667422	38.858700	4.032149	0.013429	3.5
130	-0.668687	39.858700	3.965895	0.012116	3.5
131	-0.719723	40.858487	3.901796	0.018870	3.5
132	-0.696291	40.083926	3.951272	0.012922	3.4
133	-0.661450	39.309365	4.002018	0.015248	3.4
134	-0.690601	38.576997	4.051214	0.018363	3.4
135	-0.682639	38.265956	4.072476	0.021205	3.3
136	-0.666193	38.031875	4.088625	0.016462	3.5
137	-0.695774	37.257314	4.142985	0.012142	3.5
138	-0.692119	36.485273	4.198626	0.028223	3.5
139	-0.699315	35.710712	4.255972	0.019529	3.4
140	-0.657791	36.710712	4.182225	0.027112	3.6
141	-0.706967	35.936151	4.239120	0.018832	3.5
142	-0.681164	35.161590	4.297585	0.019162	3.6
143	-0.689439	34.387081	4.357680	0.023888	3.6
144	-0.722598	35.387081	4.280399	0.013985	3.6
145	-0.689731	36.387081	4.205810	0.014392	3.3
146	-0.686627	35.623412	4.262533	0.025792	3.4
147	-0.700278	34.848855	4.321650	0.020264	3.4
148	-0.700682	35.848855	4.245630	0.012777	3.4
149	-0.699553	35.118861	4.300857	0.017113	3.2
150	-0.690781	34.344341	4.361045	0.014114	3.6
151	-0.686263	35.342718	4.283769	0.017213	3.5
152	-0.696966	34.568163	4.343480	0.012715	3.4
153	-0.690425	35.557780	4.267480	0.017810	3.4
154	-0.694343	34.783219	4.326735	0.024915	3.5
155	-0.693852	34.008658	4.387658	0.016274	3.4
156	-0.712392	33.234097	4.450322	0.023177	3.5
157	-0.690527	34.234097	4.369750	0.023006	3.4
158	-0.698575	35.234097	4.292043	0.024779	3.4
159	-0.687420	36.234097	4.217052	0.019541	3.4
160	-0.684663	35.459542	4.274905	0.012336	3.3
161	-0.672283	34.684981	4.334368	0.022174	3.5
162	-0.694291	33.917706	4.394925	0.016146	4.6
163	-0.694350	33.143145	4.457798	0.017357	3.8
164	-0.680092	32.375723	4.521891	0.016108	3.4
165	-0.696518	33.375723	4.438731	0.023599	3.1
166	-0.708580	32.601985	4.502803	0.019309	3.4
167	-0.687544	31.834430	4.568218	0.019889	3.3
168	-0.653634	32.834430	4.483361	0.014088	3.3
169	-0.679461	33.834430	4.401599	0.013541	3.4
170	-0.666700	33.087156	4.462412	0.016615	3.3
