1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.788887	627.201626	0.008561	472.3
1	-0.839345	623.504937	0.007921	41.9
2	-0.785076	619.865785	0.007188	32.0
3	-0.742245	616.282728	0.009281	31.8
4	-0.515806	612.754375	0.006637	31.5
5	-0.765783	609.279381	0.007264	28.5
6	-0.304340	605.856447	0.005471	29.6
7	0.000000	602.484317	0.000000	30.0
8	0.000000	599.161779	0.000000	30.8
9	-0.466949	595.887656	0.005535	30.4
10	-0.421730	592.660813	0.005338	29.8
11	-0.213963	589.480151	0.003197	28.4
12	-0.758325	586.344606	0.005996	30.9
13	0.000000	583.253145	0.000000	30.1
14	-0.764661	580.204771	0.006856	30.5
15	-0.904827	577.198517	0.008407	30.0
16	-0.089508	574.233444	0.002423	28.5
17	-0.352131	571.308645	0.004921	29.6
18	-0.786279	568.423237	0.007374	30.0
19	-0.991410	565.576365	0.008994	30.1
20	0.000000	562.767201	0.000000	28.0
21	-0.531449	559.994938	0.007259	30.9
22	-0.566384	557.258797	0.008548	29.8
23	-0.469475	554.558018	0.007493	30.1
24	-0.794210	551.891865	0.009448	30.4
25	-0.479770	549.259621	0.008639	31.2
26	-0.544095	546.660592	0.006613	30.8
27	0.000000	544.094102	0.000000	28.6
28	-0.362815	541.559494	0.005725	29.4
29	-0.307794	539.056129	0.004141	30.6
30	-0.602269	536.583387	0.004830	30.8
31	-0.468680	534.140663	0.005964	35.9
32	0.000000	531.727370	0.000000	34.1
33	-0.810327	529.342935	0.009985	30.3
34	-0.902978	526.986802	0.006827	30.4
35	0.000000	524.658430	0.000000	30.8
36	-0.885636	522.357290	0.007683	30.2
37	-0.884817	520.082868	0.007642	30.4
38	-0.703231	517.834665	0.011141	30.4
39	-0.447404	515.612193	0.006983	30.5
40	-0.588969	513.414976	0.007880	30.8
41	-0.722555	511.242551	0.007467	31.5
42	-0.632750	509.094468	0.007139	30.8
43	-0.605390	506.970285	0.005668	31.7
44	-0.576347	504.869574	0.005974	28.9
45	-0.298773	502.791916	0.004570	31.9
46	0.000000	500.736903	0.000000	33.7
47	-0.000000	498.704137	0.000000	33.2
48	-0.742330	496.693228	0.006824	32.3
49	-0.697472	494.703798	0.009546	32.3
50	0.000000	492.735476	0.000000	32.2
51	-0.654125	490.787900	0.006923	32.9
52	-0.421523	488.860718	0.004687	32.3
53	-0.539586	486.953585	0.006639	31.8
54	-0.773276	485.066164	0.006910	31.7
55	-0.787400	483.198126	0.005198	32.4
56	0.000000	481.349149	0.000000	30.7
57	-0.413832	479.518920	0.004249	31.0
58	-0.084119	477.707132	0.004261	38.9
59	-0.605443	475.913485	0.007611	39.5
60	-0.894994	474.137684	0.009546	32.4
61	0.000000	472.379445	0.000000	35.9
62	-0.376255	470.638485	0.005300	30.1
63	-0.483768	468.914531	0.004565	30.6
64	-0.533996	467.207315	0.005585	27.9
65	-0.532765	465.516573	0.005855	30.2
66	-0.486560	463.842050	0.010549	31.0
67	-0.437419	462.183494	0.005693	28.8
68	-0.757763	460.540658	0.007594	30.1
69	-0.332776	458.913303	0.004017	30.1
70	0.000000	457.301192	0.000000	30.1
71	0.000000	455.704096	0.000000	30.9
72	-0.880369	454.121787	0.008680	31.2
73	-0.395782	452.554045	0.005641	31.7
74	-0.570991	451.000653	0.006372	32.7
75	-0.417388	449.461399	0.008095	37.7
76	-0.748380	447.936075	0.005195	33.0
77	-0.936671	446.424477	0.007130	34.7
78	0.000000	444.926406	0.000000	33.1
79	0.000000	443.441666	0.000000	33.0
80	0.000000	441.970065	0.000000	32.9
81	-0.016354	440.511415	0.002920	30.6
82	-0.572432	439.065533	0.004803	31.1
83	-0.716406	437.632238	0.006054	32.7
84	-0.240547	436.211351	0.003203	30.5
85	-0.139342	434.802701	0.003025	28.3
86	0.000000	433.406117	0.000000	31.1
87	-0.737511	432.021430	0.010437	30.7
88	0.000000	430.648479	0.000000	33.1
89	0.000000	429.287101	0.000000	31.2
90	-0.488098	427.937140	0.005737	31.8
91	-0.732551	426.598440	0.012885	31.8
92	0.000000	425.270849	0.000000	33.6
93	-0.643786	423.954220	0.007656	32.1
94	-0.105926	422.648404	0.001469	29.5
95	-0.511643	421.353259	0.005007	29.1
